Date,Plant,Type,AirTemp,WaterTemp,RawPh,SettledPh,RawTurb,SettleTurb,RawFlowMGD,BasinSizeMG,DetentionTimeGPM,SolidsRemoved,Dosage
02/16/18,1,1,37,49,7.88,7.79,0.86,0.11,5.613,1,257,0.9054,9.8
02/16/18,1,1,37,49,7.88,7.79,0.86,0.14,5.613,1,257,0.8796,8.5
02/16/18,1,1,37,49,7.88,7.79,0.86,0.12,5.613,1,257,0.8968,11.8
02/16/18,1,1,37,49,7.88,7.79,0.86,0.08,5.613,1,257,0.9312,13
03/09/18,1,1,51,50,7.96,7.63,1.01,0.11,5.048,1,285,0.8889,11.5
03/09/18,1,1,51,50,7.96,7.63,1.01,0.1,5.048,1,285,0.899,10
03/09/18,1,1,51,50,7.96,7.63,1.01,0.08,5.048,1,285,0.9192,12.5
03/09/18,1,1,51,50,7.96,7.63,1.01,0.08,5.048,1,285,0.9192,13.5
04/23/18,1,1,69,57,7.86,7.78,0.56,0.23,4.507,1,320,0.8712,9.5
04/23/18,1,1,69,57,7.86,7.78,0.56,0.21,4.507,1,320,0.8824,9.5
04/23/18,1,1,69,57,7.86,7.78,0.56,0.17,4.507,1,320,0.9048,8
04/23/18,1,1,69,57,7.86,7.78,0.56,0.16,4.507,1,320,0.9104,11
04/23/18,1,1,69,57,7.86,7.78,0.56,0.16,4.507,1,320,0.9104,13
04/23/18,1,1,69,57,7.86,7.78,0.56,0.15,4.507,1,320,0.916,15
04/30/18,1,1,59,56,7.7,7.47,0.82,0.18,4.631,1,311,0.8524,13.5
04/30/18,1,1,59,56,7.7,7.47,0.82,0.16,4.631,1,311,0.8688,11.5
04/30/18,1,1,59,56,7.7,7.47,0.82,0.16,4.631,1,311,0.8688,15
04/30/18,1,1,59,56,7.7,7.47,0.82,0.16,4.631,1,311,0.8688,17
05/28/18,2,1,74,62,7.96,7.61,0.53,0.1,5.59,0.75,193,0.947,11
05/28/18,2,1,74,62,7.96,7.61,0.53,0.1,5.59,0.75,193,0.947,11
05/28/18,2,1,74,62,7.96,7.61,0.53,0.08,5.59,0.75,193,0.9576,9
05/28/18,2,1,74,62,7.96,7.61,0.53,0.08,5.59,0.75,193,0.9576,13
05/28/18,2,1,74,62,7.96,7.61,0.53,0.13,5.59,0.75,193,0.9311,15
05/28/18,2,1,74,62,7.96,7.61,0.53,0.07,5.59,0.75,193,0.9629,17
07/30/18,1,1,68,64,7.67,7.2,0.78,0.07,4.518,1,319,0.9454,10.8
07/30/18,1,1,68,64,7.67,7.2,0.78,0.08,4.518,1,319,0.9376,8
07/30/18,1,1,68,64,7.67,7.2,0.78,0.07,4.518,1,319,0.9454,12
07/30/18,1,1,68,64,7.67,7.2,0.78,0.06,4.518,1,319,0.9532,14
07/30/18,1,1,68,64,7.67,7.2,0.78,0.07,4.518,1,319,0.9454,16
07/30/18,1,1,68,64,7.67,7.2,0.78,0.08,4.518,1,319,0.9376,18
08/08/18,1,1,73,65,7.72,7.39,0.4,0.14,6.371,1,226,0.944,4
08/08/18,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,226,0.968,8
08/08/18,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,226,0.968,8
08/08/18,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,226,0.968,10
08/08/18,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,226,0.968,12
08/13/18,2,1,70,64,7.69,7.39,0.3,0.12,3.488,0.75,310,0.964,6
08/13/18,2,1,70,64,7.69,7.39,0.3,0.11,3.488,0.75,310,0.967,8
08/13/18,2,1,70,64,7.69,7.39,0.3,0.13,3.488,0.75,310,0.961,10
08/13/18,2,1,70,64,7.69,7.39,0.3,0.12,3.488,0.75,310,0.964,10
08/13/18,2,1,70,64,7.69,7.39,0.3,0.07,3.488,0.75,310,0.979,12
08/13/18,2,1,70,64,7.69,7.39,0.3,0.11,3.488,0.75,310,0.967,14
09/26/18,2,1,57,64,7.38,7.28,0.35,0.1,3.472,0.75,311,0.965,8
09/26/18,2,1,57,64,7.38,7.28,0.35,0.09,3.472,0.75,311,0.9685,10
09/26/18,2,1,57,64,7.38,7.28,0.35,0.09,3.472,0.75,311,0.9685,12
09/26/18,2,1,57,64,7.38,7.28,0.35,0.11,3.472,0.75,311,0.9615,14
09/26/18,2,1,57,64,7.38,7.28,0.35,0.09,3.472,0.75,311,0.9685,16
10/15/18,1,1,37,63,7.71,7.72,0.47,0.16,4.838,1,298,0.9248,8
10/15/18,1,1,37,63,7.71,7.72,0.47,0.06,4.838,1,298,0.9718,10
10/15/18,1,1,37,63,7.71,7.72,0.47,0.05,4.838,1,298,0.9765,12
10/15/18,1,1,37,63,7.71,7.72,0.47,0.07,4.838,1,298,0.9671,14
10/15/18,1,1,37,63,7.71,7.72,0.47,0.04,4.838,1,298,0.9812,16
11/19/18,1,1,33,54,7.89,7.89,0.47,0.11,5.56,1,259,0.9483,8
11/19/18,1,1,33,54,7.89,7.89,0.47,0.1,5.56,1,259,0.953,10
11/19/18,1,1,33,54,7.89,7.89,0.47,0.09,5.56,1,259,0.9577,12
11/19/18,1,1,33,54,7.89,7.89,0.47,0.09,5.56,1,259,0.9577,14
11/19/18,1,1,33,54,7.89,7.89,0.47,0.07,5.56,1,259,0.9671,16
11/21/18,2,1,42,54,7.8,7.81,0.47,0.12,1.872,0.75,577,0.9436,8
11/21/18,2,1,42,54,7.8,7.81,0.47,0.13,1.872,0.75,577,0.9389,10
11/21/18,2,1,42,54,7.8,7.81,0.47,0.14,1.872,0.75,577,0.9342,12
11/21/18,2,1,42,54,7.8,7.81,0.47,0.1,1.872,0.75,577,0.953,14
11/21/18,2,1,42,54,7.8,7.81,0.47,0.1,1.872,0.75,577,0.953,16
11/21/18,2,1,42,54,7.8,7.81,0.47,0.09,1.872,0.75,577,0.9577,18
01/08/19,1,1,47,53,7.53,7.51,0.53,0.14,6.413,1,225,0.9258,8
01/08/19,1,1,47,53,7.53,7.51,0.53,0.14,6.413,1,225,0.9258,10
01/08/19,1,1,47,53,7.53,7.51,0.53,0.09,6.413,1,225,0.9523,12
01/08/19,1,1,47,53,7.53,7.51,0.53,0.11,6.413,1,225,0.9417,14
01/08/19,1,1,47,53,7.53,7.51,0.53,0.15,6.413,1,225,0.9205,16
01/08/19,1,1,47,53,7.53,7.51,0.53,0.16,6.413,1,225,0.9152,18
03/29/19,1,1,60,56,7.89,7.89,0.33,0.15,6.83,1,211,0.9505,6
03/29/19,1,1,60,56,7.89,7.89,0.33,0.11,6.83,1,211,0.9637,8
03/29/19,1,1,60,56,7.89,7.89,0.33,0.1,6.83,1,211,0.967,10
03/29/19,1,1,60,56,7.89,7.89,0.33,0.11,6.83,1,211,0.9637,12
03/29/19,1,1,60,56,7.89,7.89,0.33,0.09,6.83,1,211,0.9703,14
06/03/19,1,1,66,62,8,7.5,0.49,0.11,8.855,1,163,0.9461,6
06/03/19,1,1,66,62,8,7.5,0.49,0.12,8.855,1,163,0.9412,8
06/03/19,1,1,66,62,8,7.5,0.49,0.1,8.855,1,163,0.951,10
06/03/19,1,1,66,62,8,7.5,0.49,0.09,8.855,1,163,0.9559,12
06/03/19,1,1,66,62,8,7.5,0.49,0.09,8.855,1,163,0.9559,14
07/12/19,2,1,73,69,7.66,7.4,0.76,0.25,9.133,0.75,118,0.81,8
07/12/19,2,1,73,69,7.66,7.4,0.76,0.26,9.133,0.75,118,0.8024,10
07/12/19,2,1,73,69,7.66,7.4,0.76,0.23,9.133,0.75,118,0.8252,12
07/12/19,2,1,73,69,7.66,7.4,0.76,0.2,9.133,0.75,118,0.848,14
07/12/19,2,1,73,69,7.66,7.4,0.76,0.16,9.133,0.75,118,0.8784,16
08/04/21,1,1,69,71,7.59,7.22,0.63,0.18,3.774,1,382,0.8866,8
08/04/21,1,1,69,71,7.59,7.22,0.63,0.12,3.774,1,382,0.9244,10
08/04/21,1,1,69,71,7.59,7.22,0.63,0.09,3.774,1,382,0.9433,12
08/04/21,1,1,69,71,7.59,7.22,0.63,0.09,3.774,1,382,0.9433,14
08/04/21,1,1,69,71,7.59,7.22,0.63,0.09,3.774,1,382,0.9433,16
09/17/19,1,1,76,73,7.43,7.2,0.71,0.22,5.644,1,255,0.8438,8
09/17/19,1,1,76,73,7.43,7.2,0.71,0.21,5.644,1,255,0.8509,10
09/17/19,1,1,76,73,7.43,7.2,0.71,0.21,5.644,1,255,0.8509,14
09/17/19,1,1,76,73,7.43,7.2,0.71,0.2,5.644,1,255,0.858,16
08/14/19,1,1,74,73,7.63,7.26,0.67,0.14,6.84,1,211,0.9062,10
08/14/19,1,1,74,73,7.63,7.26,0.67,0.14,6.84,1,211,0.9062,12
08/14/19,1,1,74,73,7.63,7.26,0.67,0.13,6.84,1,211,0.9129,14
08/14/19,1,1,74,73,7.63,7.26,0.67,0.13,6.84,1,211,0.9129,16
08/14/19,1,1,74,73,7.63,7.26,0.67,0.12,6.84,1,211,0.9196,18
